SpeciesCode,FunctionalGroupIndex,NitrogenFixer,GDDMinimum,GDDMaximum,MinJanuaryT,MaxDrought,LeafLongevity,Epicormic,LeafLignin,FineRootLignin,WoodLignin,CoarseRootLignin,LeafCN,FineRootCN,WoodCN,CoarseRootCN,FoliageLitterCN,MaximumANPP,MaximumBiomass,OGMaxDrought,KMMaximumANPP
AcerRubr,3,FALSE,1360.7,6493.2,-20,0.837,1,FALSE,0.263,0.225,0.3104,0.204,13,45,125,90,65,315,30000,0.372,315
BetuLent,3,FALSE,1649.98,3578.13,-18,0.45,1,TRUE,0.219,0.27,0.2018,0.251,13,45,125,90,65,245,30000,0.2,245
Cary,2,FALSE,2232.16,5310.4,-7,0.45,1,FALSE,0.187,0.27,0.2,0.251,5,25,25,49,43,158,30000,0.2,158
CornFlor,3,FALSE,2443.75,5295.9,-4,0.5625,1,TRUE,0.172,0.255,0.255,0.255,13,45,88,90,45,161,15000,0.25,161
FaguGran,3,FALSE,1387.8,5112.6,-12,0.63,1,FALSE,0.172,0.255,0.255,0.255,13,45,88,90,45,245,20000,0.28,245
FraxAmer,2,FALSE,1456.94,5112.6,-12,0.63,1,FALSE,0.114,0.27,0.2018,0.251,6,26,47,50,65,105,15000,0.28,105
LiriTuli,3,FALSE,2295.39,6000,-7,0.837,1,TRUE,0.331,0.255,0.255,0.255,15,45,125,90,65,333,32000,0.3,333
NyssSylv,3,FALSE,1910,6960,-2,0.67725,1,TRUE,0.172,0.255,0.255,0.255,13,45,23,90,45,210,20000,0.301,210
OxydArbo,2,FALSE,2146.02,4993.49,-2,0.675,1,TRUE,0.336,0.255,0.255,0.255,6,45,23,90,55,105,20000,0.3,105
PinuStro,1,FALSE,1428,4044.54,-3,0.5085,2,FALSE,0.263,0.225,0.3104,0.204,13,43,100,170,100,280,32000,0.226,280
QuerAlba,2,FALSE,1721,5537,-12,0.7425,1,TRUE,0.175,0.27,0.2,0.251,5,25,25,50,30,140,32000,0.33,140
QuerRubr,2,FALSE,1100,4571,-17,0.50625,1,TRUE,0.249,0.334,0.225,0.303,5,25,25,50,30,140,32000,0.225,140
QuerVelu,2,FALSE,1810,5076,-10,0.675,1,TRUE,0.336,0.255,0.255,0.255,5,25,25,50,30,175,32000,0.3,175
