#ppt,"","",""
"",eco2,eco2,eco2
TIMESTEP,MEAN(mm),VARIANCE(mm^2),STD_DEV(mm)
2001-01-01T00:00:00Z,198.198827586207,0,0
2001-02-01T00:00:00Z,182.853724137931,0,0
2001-03-01T00:00:00Z,188.800827586207,0,0
2001-04-01T00:00:00Z,177.659862068965,0,0
2001-05-01T00:00:00Z,156.47275862069,0,0
2001-06-01T00:00:00Z,179.026206896552,0,0
2001-07-01T00:00:00Z,155.94724137931,0,0
2001-08-01T00:00:00Z,153.293379310345,0,0
2001-09-01T00:00:00Z,162.192137931035,0,0
2001-10-01T00:00:00Z,168.755785714286,0,0
2001-11-01T00:00:00Z,171.537586206896,0,0
2001-12-01T00:00:00Z,196.061724137931,0,0
2002-01-01T00:00:00Z,198.198827586207,0,0
2002-02-01T00:00:00Z,182.853724137931,0,0
2002-03-01T00:00:00Z,188.800827586207,0,0
2002-04-01T00:00:00Z,177.659862068965,0,0
2002-05-01T00:00:00Z,156.47275862069,0,0
2002-06-01T00:00:00Z,179.026206896552,0,0
2002-07-01T00:00:00Z,155.94724137931,0,0
2002-08-01T00:00:00Z,153.293379310345,0,0
2002-09-01T00:00:00Z,162.192137931035,0,0
2002-10-01T00:00:00Z,168.755785714286,0,0
2002-11-01T00:00:00Z,171.537586206896,0,0
2002-12-01T00:00:00Z,196.061724137931,0,0
2003-01-01T00:00:00Z,198.198827586207,0,0
2003-02-01T00:00:00Z,182.853724137931,0,0
2003-03-01T00:00:00Z,188.800827586207,0,0
2003-04-01T00:00:00Z,177.659862068965,0,0
2003-05-01T00:00:00Z,156.47275862069,0,0
2003-06-01T00:00:00Z,179.026206896552,0,0
2003-07-01T00:00:00Z,155.94724137931,0,0
2003-08-01T00:00:00Z,153.293379310345,0,0
2003-09-01T00:00:00Z,162.192137931035,0,0
2003-10-01T00:00:00Z,168.755785714286,0,0
2003-11-01T00:00:00Z,171.537586206896,0,0
2003-12-01T00:00:00Z,196.061724137931,0,0
2004-01-01T00:00:00Z,198.198827586207,0,0
2004-02-01T00:00:00Z,182.853724137931,0,0
2004-03-01T00:00:00Z,188.800827586207,0,0
2004-04-01T00:00:00Z,177.659862068965,0,0
2004-05-01T00:00:00Z,156.47275862069,0,0
2004-06-01T00:00:00Z,179.026206896552,0,0
2004-07-01T00:00:00Z,155.94724137931,0,0
2004-08-01T00:00:00Z,153.293379310345,0,0
2004-09-01T00:00:00Z,162.192137931035,0,0
2004-10-01T00:00:00Z,168.755785714286,0,0
2004-11-01T00:00:00Z,171.537586206896,0,0
2004-12-01T00:00:00Z,196.061724137931,0,0
2005-01-01T00:00:00Z,198.198827586207,0,0
2005-02-01T00:00:00Z,182.853724137931,0,0
2005-03-01T00:00:00Z,188.800827586207,0,0
2005-04-01T00:00:00Z,177.659862068965,0,0
2005-05-01T00:00:00Z,156.47275862069,0,0
2005-06-01T00:00:00Z,179.026206896552,0,0
2005-07-01T00:00:00Z,155.94724137931,0,0
2005-08-01T00:00:00Z,153.293379310345,0,0
2005-09-01T00:00:00Z,162.192137931035,0,0
2005-10-01T00:00:00Z,168.755785714286,0,0
2005-11-01T00:00:00Z,171.537586206896,0,0
2005-12-01T00:00:00Z,196.061724137931,0,0
2006-01-01T00:00:00Z,198.198827586207,0,0
2006-02-01T00:00:00Z,182.853724137931,0,0
2006-03-01T00:00:00Z,188.800827586207,0,0
2006-04-01T00:00:00Z,177.659862068965,0,0
2006-05-01T00:00:00Z,156.47275862069,0,0
2006-06-01T00:00:00Z,179.026206896552,0,0
2006-07-01T00:00:00Z,155.94724137931,0,0
2006-08-01T00:00:00Z,153.293379310345,0,0
2006-09-01T00:00:00Z,162.192137931035,0,0
2006-10-01T00:00:00Z,168.755785714286,0,0
