#ppt,"","","","","","","","","","","","","","","","","",""
"",eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6,eco1,eco2,eco3,eco4,eco5,eco6
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm)
2000-01-01T00:00:00Z,162.269915287015,162.754452633536,169.129575805558,167.987496838318,174.596999390953,174.055086514339,0,0,0,0,0,0,0,0,0,0,0,0
2000-02-01T00:00:00Z,163.412915287015,163.897452633536,170.272575805558,169.130496838318,175.739999390953,175.198086514339,0,0,0,0,0,0,0,0,0,0,0,0
2000-03-01T00:00:00Z,163.805460741561,164.289998088081,170.665121260104,169.523042292864,176.132544845498,175.590631968884,0,0,0,0,0,0,0,0,0,0,0,0
2000-04-01T00:00:00Z,160.445733468834,160.930270815354,167.305393987376,166.163315020136,172.772817572771,172.230904696157,0,0,0,0,0,0,0,0,0,0,0,0
2000-05-01T00:00:00Z,141.892188014288,142.376725360809,148.751848532831,147.609769565591,154.219272118225,153.677359241611,0,0,0,0,0,0,0,0,0,0,0,0
2000-06-01T00:00:00Z,142.838915287015,143.323452633536,149.698575805558,148.556496838318,155.165999390953,154.624086514339,0,0,0,0,0,0,0,0,0,0,0,0
2000-07-01T00:00:00Z,155.52736983247,156.011907178991,162.387030351013,161.244951383773,167.854453936407,167.312541059793,0,0,0,0,0,0,0,0,0,0,0,0
2000-08-01T00:00:00Z,141.649733468833,142.134270815354,148.509393987376,147.367315020136,153.976817572771,153.434904696157,0,0,0,0,0,0,0,0,0,0,0,0
2000-09-01T00:00:00Z,147.410915287015,147.895452633536,154.270575805558,153.128496838318,159.737999390953,159.196086514339,0,0,0,0,0,0,0,0,0,0,0,0
2000-10-01T00:00:00Z,152.955940539541,153.440477886061,159.815601058083,158.673522090843,165.283024643478,164.741111766864,0,0,0,0,0,0,0,0,0,0,0,0
2000-11-01T00:00:00Z,159.383551650652,159.868088997172,166.243212169194,165.101133201955,171.710635754589,171.168722877975,0,0,0,0,0,0,0,0,0,0,0,0
2000-12-01T00:00:00Z,198.522642559743,199.007179906263,205.382303078285,204.240224111045,210.84972666368,210.307813787066,0,0,0,0,0,0,0,0,0,0,0,0
2001-01-01T00:00:00Z,162.269915287015,162.754452633536,169.129575805558,167.987496838318,174.596999390953,174.055086514339,0,0,0,0,0,0,0,0,0,0,0,0
2001-02-01T00:00:00Z,163.412915287015,163.897452633536,170.272575805558,169.130496838318,175.739999390953,175.198086514339,0,0,0,0,0,0,0,0,0,0,0,0
2001-03-01T00:00:00Z,163.805460741561,164.289998088081,170.665121260104,169.523042292864,176.132544845498,175.590631968884,0,0,0,0,0,0,0,0,0,0,0,0
2001-04-01T00:00:00Z,160.445733468834,160.930270815354,167.305393987376,166.163315020136,172.772817572771,172.230904696157,0,0,0,0,0,0,0,0,0,0,0,0
2001-05-01T00:00:00Z,141.892188014288,142.376725360809,148.751848532831,147.609769565591,154.219272118225,153.677359241611,0,0,0,0,0,0,0,0,0,0,0,0
2001-06-01T00:00:00Z,142.838915287015,143.323452633536,149.698575805558,148.556496838318,155.165999390953,154.624086514339,0,0,0,0,0,0,0,0,0,0,0,0
2001-07-01T00:00:00Z,155.52736983247,156.011907178991,162.387030351013,161.244951383773,167.854453936407,167.312541059793,0,0,0,0,0,0,0,0,0,0,0,0
2001-08-01T00:00:00Z,141.649733468833,142.134270815354,148.509393987376,147.367315020136,153.976817572771,153.434904696157,0,0,0,0,0,0,0,0,0,0,0,0
2001-09-01T00:00:00Z,147.410915287015,147.895452633536,154.270575805558,153.128496838318,159.737999390953,159.196086514339,0,0,0,0,0,0,0,0,0,0,0,0
2001-10-01T00:00:00Z,152.955940539541,153.440477886061,159.815601058083,158.673522090843,165.283024643478,164.741111766864,0,0,0,0,0,0,0,0,0,0,0,0
2001-11-01T00:00:00Z,159.383551650652,159.868088997172,166.243212169194,165.101133201955,171.710635754589,171.168722877975,0,0,0,0,0,0,0,0,0,0,0,0
2001-12-01T00:00:00Z,198.522642559743,199.007179906263,205.382303078285,204.240224111045,210.84972666368,210.307813787066,0,0,0,0,0,0,0,0,0,0,0,0
2002-01-01T00:00:00Z,162.269915287015,162.754452633536,169.129575805558,167.987496838318,174.596999390953,174.055086514339,0,0,0,0,0,0,0,0,0,0,0,0
2002-02-01T00:00:00Z,163.412915287015,163.897452633536,170.272575805558,169.130496838318,175.739999390953,175.198086514339,0,0,0,0,0,0,0,0,0,0,0,0
2002-03-01T00:00:00Z,163.805460741561,164.289998088081,170.665121260104,169.523042292864,176.132544845498,175.590631968884,0,0,0,0,0,0,0,0,0,0,0,0
